service_slug,source_folder,filename,file_size,composition,clarity,relevance,hero_potential,feature_potential,process_potential,total_score,recommended_role,notes
structural-alterations,STRUCTURAL ALTERATIONS - FLORENCE AND CARPI WENTWORTHPOINT_,IMG_1432.JPG,1022681,9,8,9,8,8,8,50,feature,"Panel being lifted by chains while worker supervises; excellent feature of the actual alteration event; clear drama"
structural-alterations,STRUCTURAL ALTERATIONS - FLORENCE AND CARPI WENTWORTHPOINT_,IMG_1322.JPG,1089978,5,7,8,4,7,7,38,,"Hand-drawn structural diagram on concrete wall showing penetration specs; technical detail"
structural-alterations,STRUCTURAL ALTERATIONS - FLORENCE AND CARPI WENTWORTHPOINT_,IMG_1320.JPG,1078792,6,7,8,5,8,5,39,,"Engineering sketch on concrete wall with yellow scaffold post; shows planning detail"
structural-alterations,FLORENCE & CAPRI WENTWORTHPOINT,IMG_2795.JPG,207495,9,8,9,9,8,8,51,process,"Wide outdoor action shot of worker with core drill into retaining wall; bright sky with city skyline visible; dramatic low-angle composition; strong color contrast"
structural-alterations,FLORENCE & CAPRI WENTWORTHPOINT,IMG_2794.JPG,81008,4,5,5,3,4,4,25,,"Very small file - likely thumbnail quality; unsuitable"
crack-injection,SUSPENDED SLAB CRACK INJECTION - PEMULWAY,IMG_0972.JPG,1135180,8,8,9,8,9,6,48,feature,"Clear close-up of injection ports installed along crack pattern on concrete wall; shows completed port layout beautifully"
crack-injection,SUSPENDED SLAB CRACK INJECTION - PEMULWAY,IMG_0999.JPG,1192710,8,8,9,7,9,5,46,feature,"Similar to 0972 but slightly different angle; crack injection ports clearly visible"
crack-injection,SUSPENDED SLAB CRACK INJECTION - PEMULWAY,IMG_0998.JPG,1312494,4,6,5,3,5,5,28,,"Very tight macro of single injection port; too abstract"
crack-injection,SLAB ON GROUND CRACK INJECTION - WAITARA,IMG_3658.JPG,1015572,8,8,8,9,6,7,46,hero,"Wide carpark with dramatic view of crack-mapped walls and floor; barrier tape and cones add context; worker visible at rear; strong depth"
crack-injection,SLAB ON GROUND CRACK INJECTION - WAITARA,IMG_3657.JPG,1007598,8,8,8,8,6,8,46,hero,"Wide carpark shot showing cracked slab and work area; good hero candidate"
crack-injection,SLAB ON GROUND CRACK INJECTION - WAITARA,IMG_3700.JPG,957270,7,8,8,7,8,5,43,,"Aerial-ish view of severely cracked slab; good damage documentation"
crack-injection,SLAB ON GROUND CRACK INJECTION - WAITARA,IMG_3654.JPG,973833,7,7,8,7,6,8,43,,"Wide carpark with worker injecting crack; good process context"
crack-injection,12C PELICAN ROAD SCHOFIELDS - SLAB ON GROUND CRACK INJECTION,IMG_3085.JPG,974268,9,9,9,9,8,6,50,hero,"Wide landscape shot of long carpark wall showing entire crack injection treatment from floor to ceiling; multiple injection lines visible; excellent documentary scope"
crack-injection,12C PELICAN ROAD SCHOFIELDS - SLAB ON GROUND CRACK INJECTION,IMG_3090.JPG,1136991,7,8,8,7,8,5,43,,"Close-up of crack injection along wall section; good detail"
crack-injection,12C PELICAN ROAD SCHOFIELDS - SLAB ON GROUND CRACK INJECTION,IMG_3092.JPG,1135594,7,8,8,7,8,5,43,,"Similar to 3090; wall injection detail"
crack-injection,16B PELICAN ROAD SCHOFIELDS - CRACK INJECTIONS,IMG_5386.JPG,1117090,8,8,9,5,9,9,48,process,"Very tight macro of injection port with tube inserted into crack on slab; shows exact technique in great detail"
crack-injection,SHORING WALL INECTION - 12C PELICAN ROAD,IMG_3189.JPG,1369741,7,8,8,6,9,6,44,,"Close-up of injection ports branching across shoring wall showing crack pattern and treatment"
crack-injection,STRUCTURAL WALL INJECTION - LOT 9 MARSDEN PARK,IMG_0928.JPG,924870,8,8,9,6,9,5,45,feature,"Wide shot of entire shoring wall covered with CFRP injection strips in abstract branching pattern; visually striking"
crack-injection,CRANE BASE RECTIFICATION & INJECTION - POINT FEDERICK,IMG_1388.JPG,807439,6,7,7,5,7,5,37,,"Repaired patch on carpark ceiling; clear before/after context"
crack-injection,SUSPENDED SLAB CRACK INJECTION - LOT 2B MARSDEN PARK,IMG_3085.JPG,974268,7,7,7,6,7,6,40,,"Note: same filename as 12C Pelican listing above but different folder - need to cross-check"
crack-injection,SUSPENDED CRACK INJECTION - LOT 2A MARSDEN PARK,IMG_0972.JPG,1135180,7,7,8,6,8,6,42,,"Wall crack injection ports; duplicated assessment from Pemulway folder"
concrete-cutting,WALL CUTTING - FLORENCE & CAPRI WENTWORTHPOINT,IMG_5431.JPG,1016859,9,9,9,9,8,9,53,hero,"Stunning outdoor hero: worker in lime-green hi-vis using wall saw to cut concrete opening; dramatic cloudy skyline with city in background; perfect composition"
concrete-cutting,WALL CUTTING - FLORENCE & CAPRI WENTWORTHPOINT,IMG_5432.JPG,977474,9,8,9,8,8,9,51,process,"Slightly wider version of same shot; worker still clearly visible; both are excellent candidates"
concrete-cutting,WALL CUTTING - FLORENCE & CAPRI WENTWORTHPOINT,IMG_5433.JPG,842839,6,7,7,5,7,7,39,,"Lower angle of same job; less dramatic composition"
concrete-cutting,CONCRETE CUTTING - COLES LINDFIELD,IMG_2297.JPG,199871,7,7,9,5,9,4,41,feature,"GPR slab scan data readout on iPad showing reinforcement and void pattern in false-colour; technically fascinating as a feature shot"
concrete-repairs,16A PELICAN ROAD SCHOFIELDS - CONCRETE CRACK REPAIR,IMG_5288.JPG,1268566,8,8,9,7,8,8,48,process,"Worker with core drill inside tight shaft; dramatic overhead view showing circular drill pattern; action and precision visible"
concrete-repairs,16A PELICAN ROAD SCHOFIELDS - CONCRETE CRACK REPAIR,IMG_5289.JPG,1194810,8,9,9,7,9,8,50,feature,"Overhead view of circular stitch drilling pattern around repaired section; striking geometric pattern; excellent feature shot"
concrete-repairs,16A PELICAN ROAD SCHOFIELDS - CONCRETE CRACK REPAIR,IMG_5174.JPG,1135015,8,8,8,8,6,8,46,process,"Wide underground carpark with worker applying crack sealant along large crack network; good process documentation"
concrete-repairs,16A PELICAN ROAD SCHOFIELDS - CONCRETE CRACK REPAIR,IMG_5225.JPG,1072817,7,8,8,6,9,6,44,feature,"Aerial-ish view of crack injection line on floor with ports installed; good detail"
concrete-repairs,STRUCTURAL WALL REPAIRS - NORTHBRIDGE,IMG_5493.JPG,1222418,7,8,8,6,9,8,46,process,"Worker using angle grinder on concrete wall surface preparation; showing substrate prep technique"
concrete-repairs,STRUCTURAL WALL REPAIRS - NORTHBRIDGE,IMG_5494.JPG,1206320,7,8,8,6,9,7,45,,"Similar substrate prep shot; good but same info as 5493"
concrete-repairs,STRUCTURAL WALL REPAIRS - NORTHBRIDGE,IMG_0521.JPG,1104145,9,9,9,7,9,6,49,feature,"Dramatic close-up of injection ports on dark textured concrete wall with strong perspective; visually compelling - like a technical art photograph"
concrete-repairs,STRUCTURAL WALL REPAIRS - NORTHBRIDGE,IMG_0591.JPG,1064929,7,8,8,5,9,8,45,,"Extreme macro of grinder head on concrete wall; very close detail"
concrete-repairs,SLAB ON GROUND REPAIRS - TOONGABIE,IMG_8319.JPG,874590,6,7,7,7,5,5,37,,"Wide carpark shot showing cracked slab with cars; context photo"
concrete-repairs,SLAB ON GROUND REPAIRS - TOONGABIE,IMG_8317.JPG,829055,7,7,7,8,5,5,39,hero,"Wide underground carpark with cracked repaired slab visible in foreground perspective; reasonable hero depth"
concrete-repairs,STRUCTURAL WALL REPAIRS - LOT 11 MARSDEN PARK,IMG_0320.JPG,918539,8,8,8,7,6,8,45,,"Worker inspecting crack on shoring wall; good documentation shot"
concrete-repairs,STRUCTURAL WALL REPAIRS - LOT 11 MARSDEN PARK,IMG_0316.JPG,828604,7,8,8,6,6,8,43,,"Worker examining wall crack with scaffolding; good process"
concrete-repairs,SHORING WALL REPAIRS - LOT 5 MARSDEN PARK,IMG_0284.JPG,1687377,7,8,7,7,7,6,42,hero,"Outdoor shoring wall with horizontal band of fresh repair mortar and injection ports visible; repair in progress with safety equipment"
concrete-repairs,SHORING WALL REPAIRS - LOT 5 MARSDEN PARK,IMG_0288.JPG,1272243,6,7,7,5,6,5,36,,"Side angle of shoring wall repair band"
concrete-repairs,SHORING WALL REPAIRS - LOT 5 MARSDEN PARK,IMG_0282.JPG,1168826,8,8,8,5,9,4,42,feature,"Extreme macro of cracked concrete surface showing spalling and structural damage detail; very high clarity"
concrete-repairs,SHORING WALLA REPAIRS - PELICAN ROAD SCHOFIELDS,IMG_5880.JPG,821892,9,8,8,9,6,7,47,hero,"Wide underground carpark showing severely cracked and treated walls with dramatic branching injection patterns; excellent scope and atmosphere"
slab-scanning,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5814.JPG,1030071,9,8,9,9,7,9,51,hero,"Wide shot of technician kneeling with GPR scanner device on floor; vivid blue spray-painted scan lines visible on slab; interesting workspace composition"
slab-scanning,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5823.JPG,1030988,8,8,9,7,7,9,48,process,"Similar GPR scanning action shot; technician in orange hi-vis with scanner and tablet; blue scan lines on floor"
slab-scanning,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5820.JPG,989934,8,8,9,7,8,9,49,process,"Technician in orange hi-vis pushing GPR scanner with tablet readout visible; scan lines on slab; strong process shot"
slab-scanning,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5817.JPG,945781,8,8,9,7,8,9,49,,"GPR scanner operator kneeling; blue scan marks on floor; good action"
slab-scanning,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5816.JPG,914447,8,8,9,7,7,9,48,,"Similar scanning shot; consistent quality across series"
slab-scanning,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5812.JPG,938683,8,8,9,7,8,9,49,feature,"Close view of GPR scanner device being used with clear view of equipment; good feature of the technology"
slab-scanning,CONCRETE CUTTING - COLES LINDFIELD,IMG_2297.JPG,199871,7,7,9,4,9,4,40,feature,"GPR scan readout on iPad in false colour showing rebar/PT cable locations; technically compelling as secondary feature"
curtain-wall-injection,CURTAIN WALL INJECTION - ENFIELD,IMG_0854.JPG,1521067,8,8,9,8,8,5,46,hero,"Wide shot looking up along brick wall covered with injection ports in grid pattern; dramatic repeated geometric motif"
curtain-wall-injection,CURTAIN WALL INJECTION - ENFIELD,IMG_0855.JPG,1356194,8,8,9,8,9,5,47,hero,"Slightly different angle of same wall; perhaps slightly better composition with ports in two columns"
curtain-wall-injection,CURTAIN WALL INJECTION - ENFIELD,IMG_0808.JPG,1489386,9,8,9,9,8,9,52,hero,"Wide angled shot of worker at base of brick wall applying injection; long wall perspective; dramatic atmosphere"
curtain-wall-injection,CURTAIN WALL INJECTION - ENFIELD,IMG_0807.JPG,1362814,8,8,9,7,9,5,46,,"Wide shot showing two rows of ports on brick wall; good scope"
curtain-wall-injection,CURTAIN WALL INJECTION - ENFIELD,IMG_0811.JPG,1362814,7,8,8,6,8,5,42,feature,"Ground-level view of injection ports installed at base of deteriorated brick wall; shows the substrate condition and ports"
curtain-wall-injection,CURTAIN WALL INJECTION - ENFIELD,IMG_0806.JPG,1263012,8,8,9,7,8,9,49,process,"Worker crouched at base of brick wall actively working; good action; shows technique in situ"
curtain-wall-injection,CURTAIN WALL INJECTION - ENFIELD,IMG_0906.JPG,1508142,5,6,6,3,5,5,30,,"Dusty gloves close-up; too abstract for primary image"
curtain-wall-injection,CURTAIN WALL INJECTION - ENFIELD,IMG_0907.JPG,1462720,5,6,6,3,5,5,30,,"Dusty gloves variant; abstract"
temporary-moving-joints,SURELOCK SYSTEM INSTALLATION - ZETLAND,IMG_4018.JPG,1102847,8,8,9,8,7,5,45,hero,"Wide landscape shot of long row of orange Surelock joint formers on black waterproofing membrane; excellent color contrast and perspective depth"
temporary-moving-joints,SURELOCK SYSTEM INSTALLATION - ZETLAND,IMG_4024.JPG,1087949,8,8,9,8,7,6,46,hero,"Aerial perspective of long row of orange Surelock joints with construction site behind; very strong composition"
temporary-moving-joints,SURELOCK SYSTEM INSTALLATION - ZETLAND,IMG_4027.JPG,1062857,7,8,8,7,7,6,43,,"Side angle of Surelock installation; green trees in background"
temporary-moving-joints,SURELOCK SYSTEM INSTALLATION - ZETLAND,IMG_4025.JPG,1041228,8,8,9,7,8,7,47,feature,"Close-up of Surelock formers attached to formwork showing installation detail; excellent feature of the product"
temporary-moving-joints,CONSTRUCTION JOINTS REPAIRS - JACARANDA_,IMG_0359.JPG,1571103,6,7,7,4,6,8,38,,"Narrow joint channel freshly cut in concrete; ground-level view"
temporary-moving-joints,CONSTRUCTION JOINTS REPAIRS - JACARANDA_,IMG_0358.JPG,1524037,6,7,7,4,7,8,39,process,"Worker spraying into joint channel showing the process; action visible"
temporary-moving-joints,CONSTRUCTION JOINTS REPAIRS - JACARANDA_,IMG_0360.JPG,1340077,6,7,7,5,7,5,37,,"Overhead view of long straight joint channel in concrete"
temporary-moving-joints,CONSTRUCTION JOINTS REPAIRS - JACARANDA_,IMG_0409.JPG,1255923,7,7,8,5,8,8,43,process,"Close-up of wet sealant being applied into joint channel; good technique shot"
post-tension-truncation,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,PHOTO-2026-02-17-20-16-04.jpg,250421,8,8,9,7,9,6,47,feature,"Overhead view of exposed PT cables in cut trench showing complex bundle of strands; highly detailed and technically impressive"
post-tension-truncation,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,PHOTO-2026-02-17-20-16-04 4.jpg,212359,8,8,9,7,9,7,48,feature,"Wider view of multiple PT cable trenches showing cross-pattern cuts and exposed cable bundles; demonstrates scope of work"
post-tension-truncation,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5906.JPG,837565,8,8,8,6,8,9,47,process,"Worker pouring grout from bucket into PT cable trench; active process shot showing rectification technique"
post-tension-truncation,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5900.JPG,772977,7,7,8,5,8,8,43,process,"Worker mixing grout compound; shows preparation process for PT repair"
post-tension-truncation,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5908.JPG,943967,7,8,9,5,9,7,45,,"Close-up of single PT cable repair trench filled partway with grout; good detail"
post-tension-truncation,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5818.JPG,973593,8,8,9,7,8,8,48,hero,"Wide shot of technician scanning floor with multiple scan lanes marked; blue GPR marks visible; TRD-related"
post-tension-truncation,SLAB SCANNING - POST-TENSION TRUNCATION - ROUSEHILL,IMG_5813.JPG,933699,7,8,9,6,8,8,46,hero,"Technician with GPR scanner on floor; scan marks visible; good documentation"
